,,Labor_force_participation,emp_population_ratio,unemp_rate
1996,M01,66.4,62.7,5.6
1996,M02,66.6,62.9,5.5
1996,M03,66.6,63.0,5.5
1996,M04,66.7,63.0,5.6
1996,M05,66.7,63.0,5.6
1996,M06,66.7,63.2,5.3
1996,M07,66.9,63.3,5.5
1996,M08,66.7,63.3,5.1
1996,M09,66.9,63.4,5.2
1996,M10,67.0,63.5,5.2
1996,M11,67.0,63.4,5.4
1996,M12,67.0,63.4,5.4
1997,M01,67.0,63.4,5.3
1997,M02,66.9,63.4,5.2
1997,M03,67.1,63.6,5.2
1997,M04,67.1,63.7,5.1
1997,M05,67.1,63.8,4.9
1997,M06,67.1,63.7,5.0
1997,M07,67.2,63.9,4.9
1997,M08,67.2,63.9,4.8
1997,M09,67.1,63.9,4.9
1997,M10,67.1,63.9,4.7
1997,M11,67.2,64.1,4.6
1997,M12,67.2,64.0,4.7
1998,M01,67.1,64.0,4.6
1998,M02,67.1,64.0,4.6
1998,M03,67.1,64.0,4.7
1998,M04,67.0,64.1,4.3
1998,M05,67.0,64.1,4.4
1998,M06,67.0,64.0,4.5
1998,M07,67.0,64.0,4.5
1998,M08,67.0,63.9,4.5
1998,M09,67.2,64.2,4.6
1998,M10,67.2,64.1,4.5
1998,M11,67.1,64.2,4.4
1998,M12,67.2,64.3,4.4
1999,M01,67.2,64.4,4.3
1999,M02,67.2,64.2,4.4
1999,M03,67.0,64.2,4.2
1999,M04,67.1,64.2,4.3
1999,M05,67.1,64.3,4.2
1999,M06,67.1,64.2,4.3
1999,M07,67.1,64.2,4.3
1999,M08,67.0,64.2,4.2
1999,M09,67.0,64.2,4.2
1999,M10,67.0,64.3,4.1
1999,M11,67.1,64.4,4.1
1999,M12,67.1,64.4,4.0
2000,M01,67.3,64.6,4.0
2000,M02,67.3,64.6,4.1
2000,M03,67.3,64.6,4.0
2000,M04,67.3,64.7,3.8
2000,M05,67.1,64.4,4.0
2000,M06,67.1,64.5,4.0
2000,M07,66.9,64.2,4.0
2000,M08,66.9,64.2,4.1
2000,M09,66.9,64.2,3.9
2000,M10,66.8,64.2,3.9
2000,M11,66.9,64.3,3.9
2000,M12,67.0,64.4,3.9
2001,M01,67.2,64.4,4.2
2001,M02,67.1,64.3,4.2
2001,M03,67.2,64.3,4.3
2001,M04,66.9,64.0,4.4
2001,M05,66.7,63.8,4.3
2001,M06,66.7,63.7,4.5
2001,M07,66.8,63.7,4.6
2001,M08,66.5,63.2,4.9
2001,M09,66.8,63.5,5.0
2001,M10,66.7,63.2,5.3
2001,M11,66.7,63.0,5.5
2001,M12,66.7,62.9,5.7
2002,M01,66.5,62.7,5.7
2002,M02,66.8,63.0,5.7
2002,M03,66.6,62.8,5.7
2002,M04,66.7,62.7,5.9
2002,M05,66.7,62.9,5.8
2002,M06,66.6,62.7,5.8
2002,M07,66.5,62.7,5.8
2002,M08,66.6,62.7,5.7
2002,M09,66.7,63.0,5.7
2002,M10,66.6,62.7,5.7
2002,M11,66.4,62.5,5.9
2002,M12,66.3,62.4,6.0
2003,M01,66.4,62.5,5.8
2003,M02,66.4,62.5,5.9
2003,M03,66.3,62.4,5.9
2003,M04,66.4,62.4,6.0
2003,M05,66.4,62.3,6.1
2003,M06,66.5,62.3,6.3
2003,M07,66.2,62.1,6.2
2003,M08,66.1,62.1,6.1
2003,M09,66.1,62.0,6.1
2003,M10,66.1,62.1,6.0
2003,M11,66.1,62.3,5.8
2003,M12,65.9,62.2,5.7
2004,M01,66.1,62.3,5.7
2004,M02,66.0,62.3,5.6
2004,M03,66.0,62.2,5.8
2004,M04,65.9,62.3,5.6
2004,M05,66.0,62.3,5.6
2004,M06,66.1,62.4,5.6
2004,M07,66.1,62.5,5.5
2004,M08,66.0,62.4,5.4
2004,M09,65.8,62.3,5.4
2004,M10,65.9,62.3,5.5
2004,M11,66.0,62.5,5.4
2004,M12,65.9,62.4,5.4
2005,M01,65.8,62.4,5.3
2005,M02,65.9,62.4,5.4
2005,M03,65.9,62.4,5.2
2005,M04,66.1,62.7,5.2
2005,M05,66.1,62.8,5.1
2005,M06,66.1,62.7,5.0
2005,M07,66.1,62.8,5.0
2005,M08,66.2,62.9,4.9
2005,M09,66.1,62.8,5.0
2005,M10,66.1,62.8,5.0
2005,M11,66.0,62.7,5.0
2005,M12,66.0,62.8,4.9
2006,M01,66.0,62.9,4.7
2006,M02,66.1,63.0,4.8
2006,M03,66.2,63.1,4.7
2006,M04,66.1,63.0,4.7
2006,M05,66.1,63.1,4.6
2006,M06,66.2,63.1,4.6
2006,M07,66.1,63.0,4.7
2006,M08,66.2,63.1,4.7
2006,M09,66.1,63.1,4.5
2006,M10,66.2,63.3,4.4
2006,M11,66.3,63.3,4.5
2006,M12,66.4,63.4,4.4
2007,M01,66.4,63.3,4.6
2007,M02,66.3,63.3,4.5
2007,M03,66.2,63.3,4.4
2007,M04,65.9,63.0,4.5
2007,M05,66.0,63.0,4.4
2007,M06,66.0,63.0,4.6
2007,M07,66.0,62.9,4.7
2007,M08,65.8,62.7,4.6
2007,M09,66.0,62.9,4.7
2007,M10,65.8,62.7,4.7
2007,M11,66.0,62.9,4.7
2007,M12,66.0,62.7,5.0
2008,M01,66.2,62.9,5.0
2008,M02,66.0,62.8,4.9
2008,M03,66.1,62.7,5.1
2008,M04,65.9,62.7,5.0
2008,M05,66.1,62.5,5.4
2008,M06,66.1,62.4,5.6
2008,M07,66.1,62.2,5.8
2008,M08,66.1,62.0,6.1
2008,M09,66.0,61.9,6.1
2008,M10,66.0,61.7,6.5
2008,M11,65.9,61.4,6.8
2008,M12,65.8,61.0,7.3
2009,M01,65.7,60.6,7.8
2009,M02,65.8,60.3,8.3
2009,M03,65.6,59.9,8.7
2009,M04,65.7,59.8,9.0
2009,M05,65.7,59.6,9.4
2009,M06,65.7,59.4,9.5
2009,M07,65.5,59.3,9.5
2009,M08,65.4,59.1,9.6
2009,M09,65.1,58.7,9.8
2009,M10,65.0,58.5,10.0
2009,M11,65.0,58.6,9.9
2009,M12,64.6,58.3,9.9
2010,M01,64.8,58.5,9.8
2010,M02,64.9,58.5,9.8
2010,M03,64.9,58.5,9.9
2010,M04,65.2,58.7,9.9
2010,M05,64.9,58.6,9.6
2010,M06,64.6,58.5,9.4
2010,M07,64.6,58.5,9.4
2010,M08,64.7,58.6,9.5
2010,M09,64.6,58.5,9.5
2010,M10,64.4,58.3,9.4
2010,M11,64.6,58.2,9.8
2010,M12,64.3,58.3,9.3
2011,M01,64.2,58.3,9.1
2011,M02,64.1,58.4,9.0
2011,M03,64.2,58.4,9.0
2011,M04,64.2,58.4,9.1
2011,M05,64.1,58.3,9.0
2011,M06,64.0,58.2,9.1
2011,M07,64.0,58.2,9.0
2011,M08,64.1,58.3,9.0
2011,M09,64.2,58.4,9.0
2011,M10,64.1,58.4,8.8
2011,M11,64.1,58.6,8.6
2011,M12,64.0,58.6,8.5
2012,M01,63.7,58.4,8.3
2012,M02,63.8,58.5,8.3
2012,M03,63.8,58.5,8.2
2012,M04,63.7,58.4,8.2
2012,M05,63.7,58.5,8.2
2012,M06,63.8,58.6,8.2
2012,M07,63.7,58.5,8.2
2012,M08,63.5,58.4,8.1
2012,M09,63.6,58.7,7.8
2012,M10,63.8,58.8,7.8
2012,M11,63.6,58.7,7.7
2012,M12,63.7,58.7,7.9
2013,M01,63.7,58.6,8.0
2013,M02,63.4,58.6,7.7
2013,M03,63.3,58.5,7.5
2013,M04,63.4,58.6,7.6
2013,M05,63.4,58.6,7.5
2013,M06,63.4,58.6,7.5
2013,M07,63.3,58.7,7.3
2013,M08,63.3,58.7,7.2
2013,M09,63.2,58.7,7.2
2013,M10,62.8,58.3,7.2
2013,M11,63.0,58.6,6.9
2013,M12,62.9,58.7,6.7
2014,M01,62.9,58.8,6.6
2014,M02,62.9,58.7,6.7
2014,M03,63.1,58.9,6.7
2014,M04,62.8,58.9,6.2
2014,M05,62.9,58.9,6.3
2014,M06,62.8,59.0,6.1
2014,M07,62.9,59.0,6.2
2014,M08,62.9,59.0,6.1
2014,M09,62.8,59.1,5.9
2014,M10,62.9,59.3,5.7
2014,M11,62.9,59.2,5.8
2014,M12,62.8,59.3,5.6
2015,M01,62.9,59.3,5.7
2015,M02,62.7,59.2,5.5
2015,M03,62.6,59.2,5.4
2015,M04,62.8,59.3,5.4
2015,M05,62.9,59.4,5.6
2015,M06,62.7,59.4,5.3
2015,M07,62.6,59.3,5.2
2015,M08,62.6,59.4,5.1
2015,M09,62.4,59.2,5.0
2015,M10,62.5,59.3,5.0
2015,M11,62.5,59.4,5.1
2015,M12,62.7,59.6,5.0
2016,M01,62.7,59.7,4.9
2016,M02,62.8,59.7,4.9
2016,M03,62.9,59.8,5.0
2016,M04,62.8,59.7,5.0
2016,M05,62.7,59.7,4.8
2016,M06,62.7,59.7,4.9
2016,M07,62.7,59.7,4.8
2016,M08,62.9,59.8,4.9
2016,M09,62.9,59.8,5.0
2016,M10,62.8,59.7,4.9
2016,M11,62.7,59.7,4.7
2016,M12,62.7,59.8,4.7
2017,M01,62.8,59.9,4.7
2017,M02,62.8,59.9,4.6
2017,M03,62.9,60.1,4.4
2017,M04,63.0,60.2,4.4
2017,M05,62.8,60.1,4.4
2017,M06,62.8,60.1,4.3
2017,M07,62.8,60.1,4.3
2017,M08,62.9,60.1,4.4
2017,M09,63.1,60.4,4.2
2017,M10,62.7,60.1,4.1
2017,M11,62.7,60.1,4.2
2017,M12,62.7,60.1,4.1
2018,M01,62.7,60.2,4.1
2018,M02,63.0,60.4,4.1
2018,M03,62.9,60.4,4.0
2018,M04,62.9,60.4,4.0
2018,M05,62.9,60.5,3.8
2018,M06,63.0,60.5,4.0
2018,M07,62.9,60.5,3.8
2018,M08,62.7,60.3,3.8
2018,M09,62.8,60.4,3.7
2018,M10,62.9,60.5,3.8
2018,M11,62.9,60.5,3.7
2018,M12,63.0,60.6,3.9
2019,M01,63.2,60.7,4.0
2019,M02,63.1,60.7,3.8
2019,M03,63.0,60.6,3.8
2019,M04,62.8,60.6,3.6
2019,M05,62.9,60.6,3.6
2019,M06,63.0,60.7,3.7
2019,M07,63.0,60.7,3.7
2019,M08,63.2,60.9,3.7
2019,M09,63.2,61.0,3.5
2019,M10,63.3,61.0,3.6
2019,M11,63.2,61.0,3.5
2019,M12,63.2,61.0,3.5
2020,M01,63.4,61.2,3.6
